feature,importance
Sex,0.22748460653160987
Fare,0.2137734804692645
PassengerId,0.2029665388712688
Age,0.16994312994545516
Pclass,0.07527667900202394
SibSp,0.046050059254471865
Parch,0.0337960350936382
Embarked,0.03070947083226784
